Contig,Student,Aligner,DE
contig#23665,Taylor,salmon,limma-voom
contig#46631,Taylor,salmon,limma-voom
contig#38785,Taylor,salmon,limma-voom
contig#24428,Taylor,salmon,limma-voom
contig#52412,Taylor,salmon,limma-voom
contig#9231,Taylor,salmon,limma-voom
contig#9563,Taylor,salmon,limma-voom
contig#23350,Taylor,salmon,limma-voom
contig#29424,Taylor,salmon,limma-voom
contig#29599,Taylor,salmon,limma-voom
contig#47100,Taylor,salmon,limma-voom
contig#24659,Taylor,salmon,limma-voom
contig#10302,Taylor,salmon,limma-voom
contig#36966,Taylor,salmon,limma-voom
contig#5533,Taylor,salmon,limma-voom
contig#10643,Taylor,salmon,limma-voom
contig#25432,Zac_contrasts-filtered,BWA,limma-voom
contig#20746,Zac_contrasts-filtered,BWA,limma-voom
contig#23350,Zac_contrasts-filtered,BWA,limma-voom
contig#13971,Zac_contrasts-filtered,BWA,limma-voom
contig#24428,Zac_contrasts-filtered,BWA,limma-voom
contig#28205,Zac_contrasts-filtered,BWA,limma-voom
contig#13843,Zac_contrasts-filtered,BWA,limma-voom
contig#3790,Zac_contrasts-filtered,BWA,limma-voom
contig#9502,Zac_contrasts-filtered,BWA,limma-voom
contig#17071,Zac_contrasts-filtered,BWA,limma-voom
contig#5897,Zac_contrasts-filtered,BWA,limma-voom
contig#28042,Zac_contrasts-filtered,BWA,limma-voom
contig#18830,Zac_contrasts-filtered,BWA,limma-voom
contig#47100,Zac_contrasts-filtered,BWA,limma-voom
contig#28354,Zac_contrasts-filtered,BWA,limma-voom
contig#29242,Zac_contrasts-filtered,BWA,limma-voom
contig#15289,Zac_contrasts-filtered,BWA,limma-voom
contig#11684,Zac_contrasts-filtered,BWA,limma-voom
contig#23552,Zac_contrasts-filtered,BWA,limma-voom
contig#7241,Zac_contrasts-filtered,BWA,limma-voom
contig#48183,Zac_contrasts-unfiltered,BWA,limma-voom
contig#23006,Zac_contrasts-unfiltered,BWA,limma-voom
contig#25432,Zac_contrasts-unfiltered,BWA,limma-voom
contig#55843,Zac_contrasts-unfiltered,BWA,limma-voom
contig#23350,Zac_contrasts-unfiltered,BWA,limma-voom
contig#51283,Zac_contrasts-unfiltered,BWA,limma-voom
contig#47100,Zac_contrasts-unfiltered,BWA,limma-voom
contig#24428,Zac_contrasts-unfiltered,BWA,limma-voom
contig#13971,Zac_contrasts-unfiltered,BWA,limma-voom
contig#20746,Zac_contrasts-unfiltered,BWA,limma-voom
contig#18830,Zac_contrasts-unfiltered,BWA,limma-voom
contig#9502,Zac_contrasts-unfiltered,BWA,limma-voom
contig#3790,Zac_contrasts-unfiltered,BWA,limma-voom
contig#19972,Zac_contrasts-unfiltered,BWA,limma-voom
contig#49264,Zac_contrasts-unfiltered,BWA,limma-voom
contig#15362,Zac_contrasts-unfiltered,BWA,limma-voom
contig#17071,Zac_contrasts-unfiltered,BWA,limma-voom
contig#5897,Zac_contrasts-unfiltered,BWA,limma-voom
contig#13843,Zac_contrasts-unfiltered,BWA,limma-voom
contig#33431,Zac_contrasts-unfiltered,BWA,limma-voom
contig#52597,PAPER,BWA,DESeq2
contig#45384,PAPER,BWA,DESeq2
contig#37085,PAPER,BWA,DESeq2
contig#28354,PAPER,BWA,DESeq2
contig#20908,PAPER,BWA,DESeq2
contig#11128,PAPER,BWA,DESeq2
contig#23350,PAPER,BWA,DESeq2
contig#24446,PAPER,BWA,DESeq2
contig#45102,PAPER,BWA,DESeq2
contig#29424,PAPER,BWA,DESeq2
contig#4342,PAPER,BWA,DESeq2
contig#52412,PAPER,BWA,DESeq2
contig#49862,PAPER,BWA,DESeq2
contig#489,PAPER,BWA,DESeq2
contig#18663,PAPER,BWA,DESeq2
contig#32563,PAPER,BWA,DESeq2
contig#15466,PAPER,BWA,DESeq2
contig#25825,PAPER,BWA,DESeq2
contig#10636,PAPER,BWA,DESeq2
contig#36253,PAPER,BWA,DESeq2
